# File Name: I:\Common\6. Lab operations\PCR-runs\B384_001967 250807 EH QP_20250807_122447.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type=: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778622100020
# Instrument Serial Number: 2778622100020
# Heated Cover Serial Number: 2779322112335
# Block serial number: 2778322092349
# Run Start Date/Time: 2025-08-07 12:24:53 PM CEST
# Run End Data/Time: 2025-08-07 01:11:54 PM CEST
# Run Duration: 47 minutes 0 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-08-07 02:15:33 PM CEST
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Standard Curve v1.8.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-08-07 02:22:48 PM CEST

[Results]
Well	Well Position	Sample Name	Target Name	Ct Threshold	Baseline Start2	Baseline End	Reporter	CT
31	B07	1883804@SE-25-0889-001-1B	SbEP1	0.2	3	15	FAM	27.556
33	B09	1883803@SE-25-0889-001-1B	oxy235	0.2	3	15	FAM	UNDETERMINED
30	B06	1883802@SE-25-0889-001-1B	pt	0.2	3	15	FAM	UNDETERMINED
29	B05	1883801@SE-25-0889-001-1B	n	0.2	3	15	FAM	28.3
28	B04	1883800@SE-25-0889-001-1B	Sh	0.2	3	15	FAM	28.307
27	B03	1883799@SE-25-0889-001-1B	B11b	0.2	3	15	FAM	UNDETERMINED
26	B02	1883798@SE-25-0889-001-1B	FatA	0.2	3	15	VIC	29.052
13	A13	1883795@SE-25-0889-001-1A	DP73496	0.2	3	15	FAM	32.339
12	A12	1883794@SE-25-0889-001-1A	MON88302	0.2	3	15	FAM	28.974
11	A11	1883793@SE-25-0889-001-1A	Rf3	0.2	3	15	FAM	27.761
10	A10	1883792@SE-25-0889-001-1A	MS8	0.2	3	15	FAM	30.139
9	A09	1883791@SE-25-0889-001-1A	oxy235	0.2	3	15	FAM	UNDETERMINED
8	A08	1883790@SE-25-0889-001-1A	RT73 d	0.2	3	15	FAM	29.994
7	A07	1883789@SE-25-0889-001-1A	SbEP1	0.2	3	15	FAM	27.305
6	A06	1883788@SE-25-0889-001-1A	pt	0.2	3	15	FAM	UNDETERMINED
5	A05	1883787@SE-25-0889-001-1A	n	0.2	3	15	FAM	27.874
4	A04	1883786@SE-25-0889-001-1A	Sh	0.2	3	15	FAM	28.462
3	A03	1883785@SE-25-0889-001-1A	B11b	0.2	3	15	FAM	UNDETERMINED
2	A02	1883784@SE-25-0889-001-1A	FatA	0.2	3	15	VIC	28.933
